Date,Close,High,Low,Open,Volume
2021-09-18,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,495513218
2021-09-19,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,572892039
2021-09-20,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,586521394
2021-09-21,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,382463972
2021-09-22,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,280642205
2021-09-23,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,370820478
2021-09-24,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,456964069
2021-09-25,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,227277343
2021-09-26,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,257921523
2021-09-27,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,207040951
2021-09-28,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,229379215
2021-09-29,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,193035725
2021-09-30,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,308553065
2021-10-01,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,316837935
2021-10-02,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,320232218
2021-10-03,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,627602337
2021-10-04,1.2999999853491317e-05,1.4999999621068127e-05,7.999999979801942e-06,9.000000318337698e-06,5113996411
2021-10-05,1.700000029813964e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.2999999853491317e-05,9382762020
2021-10-06,2.8000000384054147e-05,2.9000000722589903e-05,1.700000029813964e-05,1.700000029813964e-05,15233960302
2021-10-07,2.300000051036477e-05,3.5000000934815034e-05,2.099999983329326e-05,2.8000000384054147e-05,18731843000
2021-10-08,2.700000004551839e-05,2.9000000722589903e-05,2.099999983329326e-05,2.300000051036477e-05,12326548369
2021-10-09,2.700000004551839e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.700000004551839e-05,6401062357
2021-10-10,2.5999999706982635e-05,2.8000000384054147e-05,2.499999936844688e-05,2.700000004551839e-05,3597266431
2021-10-11,3.099999958067201e-05,3.199999991920777e-05,2.5999999706982635e-05,2.5999999706982635e-05,7321688785
2021-10-12,2.9000000722589903e-05,3.199999991920777e-05,2.700000004551839e-05,3.099999958067201e-05,4868743619
2021-10-13,2.9000000722589903e-05,3.099999958067201e-05,2.8000000384054147e-05,2.9000000722589903e-05,3082220289
2021-10-14,2.700000004551839e-05,2.9999999242136255e-05,2.700000004551839e-05,2.9000000722589903e-05,2727081948
2021-10-15,2.499999936844688e-05,2.700000004551839e-05,2.300000051036477e-05,2.700000004551839e-05,4121246428
2021-10-16,2.5999999706982635e-05,2.700000004551839e-05,2.499999936844688e-05,2.499999936844688e-05,1871226740
2021-10-17,2.8000000384054147e-05,2.9000000722589903e-05,2.4000000848900527e-05,2.5999999706982635e-05,2304858857
2021-10-18,2.9000000722589903e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.8000000384054147e-05,3919367323
2021-10-19,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.9000000722589903e-05,1651861422
2021-10-20,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.8000000384054147e-05,1676016339
2021-10-21,2.700000004551839e-05,2.9000000722589903e-05,2.700000004551839e-05,2.9000000722589903e-05,1540610794
2021-10-22,2.8000000384054147e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,1297177007
2021-10-23,3.400000059627928e-05,3.5000000934815034e-05,2.8000000384054147e-05,2.8000000384054147e-05,4703212108
2021-10-24,3.600000127335079e-05,4.400000034365803e-05,3.400000059627928e-05,3.400000059627928e-05,15337292521
2021-10-25,4.199999966658652e-05,4.400000034365803e-05,3.5000000934815034e-05,3.600000127335079e-05,8244210217
2021-10-26,4.8000001697801054e-05,4.8999998398358e-05,4.099999932805076e-05,4.199999966658652e-05,11176750625
2021-10-27,7.999999797903001e-05,8.70000003487803e-05,4.70000013592653e-05,4.8000001697801054e-05,39053846018
2021-10-28,6.800000119255856e-05,8.800000068731606e-05,5.700000110664405e-05,7.899999764049426e-05,32835212339
2021-10-29,7.500000356230885e-05,7.699999696342275e-05,6.0999998822808266e-05,6.900000153109431e-05,14287074318
2021-10-30,6.500000017695129e-05,7.79999973019585e-05,6.199999916134402e-05,7.500000356230885e-05,8093183339
2021-10-31,6.70000008540228e-05,7.000000186963007e-05,5.900000178371556e-05,6.500000017695129e-05,7990702699
2021-11-01,7.200000254670158e-05,7.500000356230885e-05,6.600000051548705e-05,6.70000008540228e-05,8120747918
2021-11-02,6.900000153109431e-05,7.300000288523734e-05,6.70000008540228e-05,7.200000254670158e-05,5316969434
