Date,Close,High,Low,Open,Volume
2024-09-09,59182.8359375,60656.72265625,54598.43359375,54851.88671875,201400392020
2024-09-16,63648.7109375,64119.53125,57501.33984375,59185.2265625,223578476939
2024-09-23,65635.3046875,66480.6953125,62628.078125,63643.1015625,185380794223
2024-09-30,62818.953125,65635.0546875,59878.8046875,65634.65625,221870167581
2024-10-07,62851.375,64443.70703125,58895.20703125,62819.109375,185760615870
2024-10-14,69001.703125,69359.0078125,62442.15234375,62848.3984375,233833427420
2024-10-21,67929.296875,69462.734375,65188.03515625,69002.0,210764883686
2024-10-28,68741.1171875,73577.2109375,67482.5234375,67922.671875,281658996077
2024-11-04,80474.1875,81474.421875,66803.6484375,68742.1328125,436048950363
2024-11-11,89845.8515625,93434.3515625,80283.25,80471.4140625,631742325166
2024-11-18,98013.8203125,99655.5,89393.59375,89843.71875,502412531238
2024-11-25,97279.7890625,98935.03125,90770.8125,98033.4453125,419153048682
2024-12-02,101236.015625,103900.46875,91998.78125,97276.0078125,549005393438
2024-12-09,104298.6953125,105047.5390625,94321.2578125,101237.0625,521429282524
2024-12-16,95104.9375,108268.4453125,92175.1796875,104293.578125,551244500231
2024-12-23,93530.2265625,99884.5703125,92403.1328125,95099.390625,299272588112
2024-12-30,98314.9609375,98956.9140625,91317.1328125,93527.1953125,248821817930
2025-01-06,94488.4375,102712.484375,91220.84375,98314.953125,338967010865
2025-01-13,101089.609375,106299.796875,89260.1015625,94488.890625,437782936416
2025-01-20,102682.5,109114.8828125,99471.359375,101083.75,471816874719
2025-01-27,97688.9765625,106418.765625,96216.078125,102680.3046875,362117614322
2025-02-03,96500.09375,102514.171875,91242.890625,97681.1015625,388753129798
2025-02-10,96175.03125,98819.46875,94101.203125,96499.4609375,230337481014
2025-02-17,96273.921875,99497.96875,93388.8359375,96179.0078125,210283176728
2025-02-24,94248.3515625,96503.453125,78248.9140625,96277.9609375,424642208809
2025-03-03,80601.0390625,94429.75,80052.484375,94248.421875,351467410238
2025-03-10,82579.6875,85263.2890625,76624.25,80597.1484375,245099235090
2025-03-17,86054.375,87443.265625,81179.9921875,82576.3359375,154637791297
2025-03-24,82334.5234375,88758.7265625,81573.25,86070.9296875,181637739548
2025-03-31,78214.484375,88466.953125,77097.7421875,82336.0625,237449686690
2025-04-07,83684.9765625,86015.1875,74436.6796875,78221.3359375,363220466107
2025-04-14,85174.3046875,86429.3515625,83100.6171875,83694.5234375,155677486406
2025-04-21,93754.84375,95768.390625,85143.8359375,85171.5390625,247116398033
2025-04-28,94315.9765625,97905.8984375,92860.8046875,93755.3046875,179785916926
2025-05-05,104106.359375,104961.765625,93399.859375,94319.5625,346007588371
2025-05-12,106446.0078125,106597.171875,100814.40625,104106.9609375,344395798973
2025-05-19,109035.390625,111970.171875,102112.6875,106430.53125,407490594865
2025-05-26,105652.1015625,110744.2109375,103136.1171875,109023.78125,342628955292
2025-06-02,105793.6484375,106813.578125,100436.8828125,105649.8125,317888289963
2025-06-09,105552.0234375,110561.421875,102822.0234375,105793.0234375,360592444302
2025-06-16,100987.140625,108915.375,98286.203125,105555.59375,345832029969
2025-06-23,108385.5703125,108526.3046875,99705.75,100987.4765625,320503132421
2025-06-30,109232.0703125,110541.4609375,105157.3984375,108383.4375,302896897483
2025-07-07,119116.1171875,119449.5703125,107499.5546875,109235.328125,425010937713
2025-07-14,117300.7890625,123091.609375,115765.6875,119115.7890625,607619761231
2025-07-21,119448.4921875,120269.96875,114759.8203125,117306.46875,496322967466
2025-07-28,114217.671875,119819.7890625,111943.8046875,119457.5234375,467817557243
2025-08-04,119306.7578125,119320.7109375,112701.109375,114223.921875,395725770752
2025-08-11,117453.0625,124457.1171875,116864.5703125,119306.8125,520847323413
2025-08-18,113458.4296875,117614.171875,111060.546875,117453.90625,482123824127
2025-08-25,108236.7109375,113637.84375,107444.4453125,113456.8984375,453416228500
2025-09-01,111167.6171875,113357.4921875,107271.1796875,108228.75,369258523185
2025-09-08,115407.65625,116769.3828125,110630.609375,111163.015625,310393050143
2025-09-15,115306.09375,117911.7890625,114461.0625,115399.6328125,292893677815
2025-09-22,112122.640625,115431.3125,108713.3984375,115309.21875,358886641603
2025-09-29,123513.4765625,125559.2109375,111589.953125,112117.875,456130203494
2025-10-06,115169.765625,126198.0703125,104582.4140625,123510.453125,645797975711
2025-10-13,108666.7109375,116020.484375,103598.4296875,115161.6796875,508815465964
2025-10-20,114472.4453125,115260.90625,106778.0,108667.4453125,415030266271
2025-10-27,110639.625,116273.3125,106376.6875,114479.8515625,378401671301
2025-11-03,104719.640625,110764.9140625,98962.0625,110646.90625,528630842986
2025-11-10,94177.078125,107428.2578125,92971.1640625,104723.7734375,530543355033
2025-11-17,86805.0078125,95928.3671875,80659.8125,94180.875,601874776014
2025-11-24,90394.3125,92969.0859375,85272.1953125,86798.7734375,400123670982
2025-12-01,90405.640625,94060.7734375,83862.25,90389.109375,457343640300
2025-12-08,88175.1796875,94601.5703125,87634.9375,90424.5859375,449188954528
2025-12-15,88621.75,90264.5703125,84436.3125,88171.078125,264999230688
2025-12-22,87835.8359375,90501.9296875,86411.796875,88621.3984375,198587430131
2025-12-29,91413.4921875,91712.5859375,86717.9140625,87835.7890625,230621462811
2026-01-05,90827.4609375,94762.0703125,89233.875,91414.625,259512375535
2026-01-12,93634.4296875,97860.6015625,90055.0234375,90825.859375,280085470493
2026-01-19,86572.21875,93660.828125,86003.7109375,93655.671875,273829578138
2026-01-26,76974.4453125,90439.2890625,75698.8984375,86566.5234375,384470316689
2026-02-02,70264.7265625,79258.609375,60074.203125,76968.875,552857565129
2026-02-09,68788.1875,71369.96875,65092.109375,70243.328125,304022005451
2026-02-16,67659.390625,70067.234375,65637.4296875,68782.3984375,216831409086
2026-02-23,65738.1015625,69953.53125,62553.1875,67668.4296875,311478915256
2026-03-02,65969.78125,74051.8046875,65303.13671875,65734.078125,331122778300
2026-03-09,72789.9140625,73927.328125,65858.0078125,65969.5859375,301054621121
2026-03-16,70574.1953125,75988.3984375,68805.5234375,72798.171875,234456734546
